str_yes|是 。 
str_retirement_text_3|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 ， 最 后 作 为 一 个 身 无 分 文 的 流 浪 者 ， 从 一 个 酒 馆 漂 流 到 另 一 个 酒 馆 ， 靠 讲 些 没 人 相 信 的 战 争 故 事 来 讨 口 酒 喝 。 
str_retirement_text_4|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 但 是 你 想 办 法 凑 了 足 够 的 钱 在 {s7}村 庄 的 附 近 买 了 一 小 片 地 。 当 上 了 自 由 农 。 很 快 你 就 吸 引 了 未 来 的 {reg59?丈 夫 :妻 子 }。 现 在 你 就 成 了 当 地 的 英 雄 。 你 时 常 在 宴 会 上 得 到 人 们 的 尊 重 ， 而 你 的 冒 险 经 历 在 酒 馆 和 客 栈 一 遍 又 一 遍 地 被 人 们 口 口 相 传 ， 所 以 孩 子 们 将 永 远 记 得 你 的 事 迹 。 
str_retirement_text_5|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 不 过 还 是 够 用 来 在 {s9}城 买 个 小 酒 馆 。 尽 管 当 地 人 一 开 始 对 你 有 所 提 防 ， 他 们 很 快 就 接 受 容 纳 了 你 。 现 在 你 让 酒 馆 成 了 一 个 受 欢 迎 的 宴 会 和 见 面 场 所 。 人 们 从 数 英 里 以 外 赶 来 吃 饭 和 留 宿 ， 因 为 他 们 都 被 你 绝 对 的 声 望 和 你 所 说 的 那 些 冒 险 岁 月 里 眼 花 缭 乱 的 故 事 迷 住 了 。 
str_retirement_text_6|你 在 你 的 冒 险 生 涯 中 精 明 地 存 下 钱 来 ， 而 现 在 你 的 银 子 和 你 的 聪 明 才 智 让 你 进 行 了 一 些 极 好 的 投 资 来 巩 固 你 的 未 来 。 收 购 了 {s9}城 的 几 个 铺 子 和 仓 库 之 后 ， 你 的 机 智 让 你 成 为 城 里 最 为 卓 越 的 商 人 之 一 ， 并 且 你 很 快 成 为 一 个 富 有 的 人 ， 你 的 贸 易 帝 国 就 像 你 的 战 争 事 迹 一 样 闻 名 。 
str_retirement_text_7|作 为 一 个 有 封 地 的 贵 族 ， 不 管 封 地 有 多 小 ， 你 的 未 来 也 差 不 多 可 以 确 定 了 。 你 迁 入 了 你 的 领 地 {s7}， 主 宰 着 村 庄 和 农 田 ， 支 配 着 地 方 法 院 并 且 向 你 的 君 主 履 行 着 你 的 义 务 。 有 时 候 你 的 君 主 召 集 你 并 且 在 他 的 战 役 中 听 命 ， 但 是 这 些 日 常 工 作 还 是 简 单 的 ， 而 你 再 也 没 有 真 正 回 到 你 年 轻 时 候 的 冒 险 经 历 。 你 已 经 置 下 大 笔 财 富 。 因 为 拥 有 自 己 的 领 主 大 厅 和 领 地 ， 除 了 你 健 康 的 体 魄 和 自 己 的 领 地 所 能 给 予 给 你 的 以 外 ， 你 也 没 有 别 的 奢 求 了 。 
str_retirement_text_8|毫 无 疑 问 ， 你 为 你 自 己 做 的 非 常 好 。 你 广 阔 的 领 地 和 积 累 的 财 富 足 够 保 证 你 在 余 下 的 日 子 里 过 着 富 足 而 省 心 的 生 活 。 退 休 在 你 的 封 地 {s8}， 你 改 变 你 的 冒 险 生 涯 而 转 向 政 治 ， 很 快 你 就 在 你 君 主 的 王 国 里 面 建 立 了 自 己 相 当 可 观 的 权 威 。 随 着 自 己 的 兴 趣 爱 好 忙 碌 ， 在 自 己 的 林 地 里 打 猎 ， 在 领 主 大 厅 里 大 摆 宴 席 ， 以 及 吹 嘘 着 上 百 个 耐 听 的 战 争 事 迹 ， 你 无 忧 无 虑 地 让 剩 余 的 每 一 年 都 过 的 有 滋 有 味 。 
str_retirement_text_9|作 为 你 得 力 和 忠 心 服 务 的 回 报 ， 你 的 君 主 宣 布 你 被 授 予 一 个 世 袭 的 头 衔 ， 加 入 了 士 族 最 显 赫 的 贵 族 圈 。 很 快 你 完 成 了 作 为 {s7}男 爵 的 授 勋 仪 式 ， 并 且 你 成 为 了 你 君 主 的 近 臣 和 副 手 之 一 。 你 蕴 藏 的 声 望 给 予 了 你 很 多 无 形 的 影 响 力 进 而 成 为 你 公 开 的 政 治 能 力 。 现 在 你 在 权 力 游 戏 之 中 消 磨 时 光 ， 管 理 着 你 巨 大 的 封 地 ， 并 且 叙 述 着 当 年 的 冒 险 与 光 荣 。 
str_retirement_text_10|尽 管 你 出 身 卑 微 ， 你 的 君 主 却 对 你 尊 重 有 加 ， 当 他 赐 予 你 {s9}城 的 {reg59?女 伯 爵 :伯 爵 }世 袭 头 衔 的 时 候 在 当 地 士 族 中 引 起 了 轩 然 大 波 。 巨 大 的 封 地 和 财 富 现 在 供 你 支 配 。 你 很 快 成 为 了 你 的 君 主 最 信 任 的 谋 臣 ， 几 乎 和 他 平 起 平 坐 并 且 处 理 他 领 土 的 大 部 分 事 务 ， 而 且 作 为 不 列 颠 及 爱 尔 兰 大 陆 最 有 权 势 的 角 色 你 在 你 那 光 彩 夺 目 的 宫 殿 里 安 放 了 一 个 与 之 相 配 的 王 座 。 
str_loot_village|袭 击 无 辜 百 姓 
str_steal_from_villagers|劫 掠 贫 民 
str_rob_caravan|劫 夺 商 队 
str_sell_slavery|贩 卖 人 口 
str_men_hungry|粮 尽 
str_men_unpaid|无 力 发 饷 
str_excessive_casualties|每 战 皆 血 流 成 河 
str_surrender|向 敌 投 降 
str_flee_battle|临 阵 脱 逃 
str_pay_bandits|向 山 贼 交 买 路 钱 
str_fail_quest|有 辱 荣 誉 的 任 务 失 败 
str_treason_one|荣 誉 
str_missed_npc|失 败 
str_squander_money|挥 霍 受 托 管 的 钱 财 
str_murder_merchant|卷 入 冷 血 谋 杀 
str_round_up_serfs|替 贵 族 围 捕 农 奴 
str_battle_fate_1|激 战 之 中 我 们 失 散 
str_battle_fate_2|我 重 伤 倒 地 ， 被 弃 如 死 
str_battle_fate_3|我 被 敌 人 打 昏 
str_battle_fate_4|我 被 俘 ， 等 待 赎 金 
str_battle_fate_5|我 被 俘 ， 但 随 后 设 法 逃 脱 。 
str_npc_morale_report|我 {s6}你 挑 选 的 同 伴 ， {s7}你 的 领 导 方 式 ， 以 及 {s8}整 体 局 势 。 
str_happy|喜 欢 
str_content|满 足 于 
str_concerned|关 心 
str_not_happy|一 点 都 不 喜 欢 
str_miserable|特 别 害 怕 
str_morale_reg1|士 气 ： {reg1}
str_bar_enthusiastic|热 情 
str_bar_content|满 足 
str_bar_weary|厌 倦 
str_bar_disgruntled|不 满 
str_bar_miserable|害 怕 
str_here_plus_space|这 里 
str_npc1_intro|日 安 ， 战 主 。 我 叫 卡 约 ， 父 亲 派 我 前 来 。 
str_npc2_intro|嗨 ！ 我 叫 埃 吉 尔 。 
str_npc3_intro|{reg59?谁 派 你 来 的 ？ 我 绝 不 回 去 ！ :别 靠 近 我 ， 我 受 够 了 每 个 过 路 人 的 欺 辱 ！ }
str_npc4_intro|日 安 。 
str_npc5_intro|你 好 ， 旅 行 者 。 愿 意 陪 我 喝 一 杯 吗 ？ 
str_npc6_intro|我 有 话 要 告 诉 你 ， 仔 细 听 。 
str_npc7_intro|嗯 ？ 离 我 远 点 ， 别 靠 太 近 。 
str_npc8_intro|你 想 干 什 么 ？ 
str_npc9_intro|你 ， 好 心 的 {reg59?小 姐 :先 生 }， 劳 驾 再 给 我 拿 杯 酒 ， 如 何 ？ 
str_npc10_intro|愿 神 与 你 同 在 ， {reg59?夫 人 :先 生 }！ 为 所 有 威 尔 士 人 的 覆 灭 干 杯 ！ 
str_npc11_intro|嗨 ， {reg59?美 人 :俊 哥 }， 我 注 意 你 有 一 会 儿 了 。 
str_npc12_intro|嗨 ， {reg59?女 士 :先 生 }， 幸 会 。 
str_npc13_intro|嗯 ？ 你 需 要 什 么 ？ 
str_npc14_intro|旅 行 者 ， 你 好 。 我 是 艾 尔 楚 ， 戈 伊 德 尔 战 士 ， 想 必 你 听 过 我 的 名 字 。 
str_npc15_intro|耶 亚 苏 ！ 耶 亚 苏 ！ 祝 你 健 康 ， {reg59?夫 人 :先 生 }。 我 叫 阿 格 霍 斯 ， 你 最 近 会 离 开 此 地 吗 ？ 
str_npc16_intro|啊 … … 你 … … 我 … … 
str_npc1_intro_response_1|我 知 道 ， 说 说 你 自 己 吧 。 
str_npc2_intro_response_1|说 吧 ， 埃 吉 尔 。 
str_npc3_intro_response_1|冷 静 ， 我 无 意 伤 害 你 ， 为 何 如 此 害 怕 ？ 
str_npc4_intro_response_1|你 不 太 爱 说 话 ， 是 吧 ？ 
str_npc5_intro_response_1|当 然 ， 请 问 有 幸 与 谁 共 饮 ？ 
str_npc6_intro_response_1|继 续 ， 朋 友 。 
str_npc7_intro_response_1|抱 歉 ， 我 只 是 想 说 你 看 起 来 运 气 不 佳 。 
str_npc8_intro_response_1|只 是 想 打 发 时 间 ， 异 乡 人 ， 若 你 无 事 。 
str_npc9_intro_response_1|先 生 ， 你 认 错 人 了 。 
str_npc10_intro_response_1|你 为 何 这 么 说 ， 伙 计 ？ 
str_npc11_intro_response_1|你 是 谁 ， 为 何 盯 着 我 ？ 
str_npc12_intro_response_1|很 高 兴 认 识 你 ！ 
str_npc13_intro_response_1|若 你 允 许 ， 我 想 与 一 位 同 路 人 闲 聊 几 句 。 
str_npc14_intro_response_1|嗯 … … 我 不 这 么 想 。 
str_npc15_intro_response_1|我 是 。 请 问 ， 这 与 你 何 干 ？ 
str_npc16_intro_response_1|你 是 结 巴 吗 ？ 
str_npc1_intro_response_2|是 ， 我 知 道 他 想 让 你 跟 我 同 行 ， 但 我 不 需 要 你 。 再 会 。 
str_npc2_intro_response_2|我 还 有 更 要 紧 的 事 。 
str_npc3_intro_response_2|走 吧 ， 小 姑 娘 。 我 有 正 事 要 做 — — 可 不 是 你 担 心 我 会 干 的 那 种 事 。 
str_npc4_intro_response_2|不 。 
str_npc5_intro_response_2|我 没 空 做 那 个 。 
str_npc6_intro_response_2|我 还 有 更 要 紧 的 事 。 
str_npc7_intro_response_2|我 还 有 更 好 的 事 要 做 。 
str_npc8_intro_response_2|好 ， 那 我 就 不 打 扰 你 了 。 
str_npc9_intro_response_2|没 什 么 ， 既 然 你 显 然 不 愿 寒 暄 。 祝 你 日 安 。 
str_npc10_intro_response_2|自 己 去 拿 ！ 
str_npc11_intro_response_2|这 话 太 傲 慢 ， 我 不 想 听 。 日 安 。 
str_npc12_intro_response_2|哦 ， 我 没 空 听 这 些 ！ 
str_npc13_intro_response_2|抱 歉 ， 我 现 在 另 有 要 事 。 
str_npc14_intro_response_2|没 事 ， 我 道 歉 。 
str_npc15_intro_response_2|先 生 ， 若 您 少 管 闲 事 ， 我 将 感 激 不 尽 。 
str_npc16_intro_response_2|我 要 走 了 。 等 你 学 会 好 好 说 话 ， 再 来 找 我 。 
str_npc1_backstory_a|阁 下 ， 我 是 老 罗 马 人 的 幼 子 。 如 您 所 知 ， 我 的 家 族 在 此 地 堪 称 传 奇 。 我 们 守 护 着 祖 先 的 历 史 ， 他 们 曾 巡 守 哈 德 良 长 城 。 
str_npc2_backstory_a|请 给 我 一 点 时 间 ， {reg59?夫 人 :先 生 }。 听 听 我 的 故 事 ， 我 对 你 很 重 要 。 
str_npc3_backstory_a|我 … … 对 不 起 ， 但 请 理 解 。 自 从 我 成 为 肯 尼 莫 雅 尔 家 的 女 仆 ， 生 活 便 如 地 狱 。 
str_npc4_backstory_a|我 是 行 动 之 人 。 若 你 想 要 空 谈 之 辈 ， 去 找 牧 师 。 
str_npc5_backstory_a|我 是 博 德 明 的 摩 根 ， 但 此 刻 已 被 放 逐 … … 
str_npc6_backstory_a|{reg59?女 士 :先 生 }， 我 本 该 死 去 ， 却 仍 活 着 ， 而 该 活 的 人 已 逝 。 那 艘 载 我 北 上 的 沃 登 里 克 号 ， 我 视 之 为 家 ， 船 员 为 家 人 。 维 京 人 袭 来 时 ， 我 拔 剑 持 盾 ， 誓 死 守 护 。 ^^坎 塔 布 里 亚 人 虽 为 基 督 徒 ， 有 人 仍 记 得 古 神 。 战 神 艾 露 丁 指 引 我 们 ， 我 挥 剑 时 必 呼 其 名 。 
str_npc7_backstory_a|幸 运 ？ 你 可 以 这 么 说 。 
str_npc8_backstory_a|啊 ， 若 你 执 意 要 听 ， 我 便 说 。 这 附 近 肯 听 老 雷 因 哈 德 的 人 不 多 。 
str_npc9_backstory_a|最 卑 微 的 歉 意 。 烟 雾 与 昏 暗 常 让 人 难 辨 面 孔 。 我 仍 难 相 信 自 己 竟 得 栖 身 于 此 。 
str_npc10_backstory_a|说 来 话 长 ， 若 你 端 杯 酒 ， 我 愿 慢 慢 道 来 。 
str_npc11_backstory_a|冷 静 ， {reg59?我 的 美 人 :帅 哥 }。 心 怀 感 激 才 是 明 智 。 容 我 自 我 介 绍 ： 苏 维 格 · 奥 拉 夫 杜 缇 ， 我 不 只 是 女 人 ， 还 是 吟 游 诗 人 。 
str_npc12_backstory_a|既 然 我 们 注 定 同 行 ， 便 正 式 介 绍 ： 我 乃 奥 丁 斯 维 的 阿 斯 比 恩 ， 一 名 医 师 ， 曾 在 法 兰 克 虚 度 光 阴 ， 数 月 前 才 回 丹 麦 。 
str_npc13_backstory_a|很 好 ， 我 不 介 意 。 我 叫 海 尔 吉 ， 丹 麦 人 与 斯 拉 夫 人 的 杀 手 。 
str_npc14_backstory_a|没 听 过 ？ 那 你 可 听 过 我 的 战 马 ， 如 月 光 掠 平 原 ？ 或 我 的 剑 ， 嗜 饮 海 伯 利 亚 高 贵 王 子 之 血 ？ 
str_npc15_backstory_a|容 我 介 绍 ： 我 是 专 攻 筑 城 术 的 工 程 师 。 拆 墙 找 我 ， 筑 墙 也 找 我 — — 只 是 后 者 费 时 费 钱 。 
str_npc16_backstory_a|抱 歉 ， {reg59?女 士 :先 生 }… … 我 是 神 的 仆 人 ， 基 督 的 牧 师 。 你 是 {playername}… … 
str_npc1_backstory_b|我 乃 顶 尖 追 踪 者 ， 实 为 最 佳 。 自 我 们 离 洞 以 来 ， 我 便 以 这 本 事 护 家 人 周 全 。 父 亲 让 我 追 随 你 ， 已 是 大 恩 。 
str_npc2_backstory_b|我 是 霍 里 克 国 王 之 子 ， 但 不 是 合 法 的 的 儿 子 。 国 王 好 美 色 ， 在 我 母 亲 — — 王 后 侍 女 — — 身 上 留 种 ， 于 是 有 了 我 。 我 在 里 伯 度 过 快 乐 童 年 ， 不 久 却 被 送 去 随 一 名 侍 卫 。 ^^那 人 严 厉 暴 烈 ， 逼 我 练 矛 、 剑 、 盾 ， 不 许 我 饮 蜜 酒 ， 也 不 准 亲 近 女 色 。 你 能 想 象 这 等 苦 难 吗 ？ 
str_npc3_backstory_b|我 过 去 住 在 一 个 小 村 子 ， 道 琴 嘉 。 那 时 我 很 幸 福 。 我 的 父 亲 索 里 克 ， 在 母 亲 死 后 对 我 百 般 疼 爱 。 可 是 ， 有 一 天 ， 肯 尼 莫 的 雅 尔 路 过 我 们 村 ， 看 见 了 我 。 那 个 该 死 的 他 ， 逼 我 父 亲 把 我 送 到 他 家 ， 给 他 妻 子 当 女 仆 。 他 保 证 会 尊 重 我 ， 却 撒 了 谎 。 我 不 想 再 提 … … 总 之 ， 从 那 以 后 ， 我 成 了 真 正 的 奴 隶 。 我 不 得 不 把 身 子 先 给 了 他 ， 又 给 了 他 的 手 下 。 
str_npc4_backstory_b|重 点 是 ， 你 该 知 道 我 叫 顿 奈 赫 ， 来 自 达 尔 里 亚 塔 ， 是 个 苏 格 兰 人 。 
str_npc5_backstory_b|自 古 以 来 ， 我 们 家 族 就 和 邻 近 的 部 族 结 下 血 仇 。 双 方 死 了 很 多 人 ， 包 括 我 的 两 个 兄 弟 。 科 努 比 亚 的 国 王 下 令 停 战 ， 可 我 知 道 自 己 的 权 利 ， 我 兄 弟 的 鲜 血 在 呼 唤 复 仇 。 我 在 山 路 上 伏 击 并 杀 死 了 一 个 敌 人 ， 当 晚 便 骑 马 离 开 大 厅 ， 连 向 父 亲 告 别 的 机 会 都 没 有 。 后 来 听 说 国 王 将 我 流 放 ， 剥 夺 了 我 的 贵 族 身 份 。 如 今 我 只 能 在 世 间 漂 泊 ， 永 远 被 逐 出 故 土 和 亲 人 。 
str_npc6_backstory_b|我 不 是 傻 子 ， 我 知 道 那 场 仗 败 了 。 我 们 人 数 少 ， 他 们 装 备 好 ， 可 我 求 艾 露 丁 让 我 在 赴 死 前 多 杀 几 个 。 我 指 望 自 己 的 牺 牲 能 让 同 伴 逃 脱 ， 或 让 维 京 人 胆 寒 ， 可 这 些 维 京 人 久 经 沙 场 ， 毫 不 畏 惧 。 六 个 人 围 住 我 把 我 打 倒 ， 其 余 人 冲 进 沃 登 里 克 号 ， 见 人 就 杀 … … 
str_npc7_backstory_b|倒 霉 透 顶 ： 一 个 蠢 皮 克 特 军 阀 命 我 夜 里 去 林 子 里 侦 察 ； 倒 霉 透 顶 ： 敌 人 设 下 精 心 埋 伏 ， 人 数 远 超 我 们 小 队 ； 倒 霉 透 顶 ： 只 有 我 一 人 从 血 战 中 逃 出 ； 倒 霉 透 顶 ： 战 议 会 将 我 定 为 叛 徒 ， 我 连 夜 逃 离 部 族 ； 倒 霉 透 顶 ： 此 刻 还 得 向 你 倾 诉 这 一 切 。 
str_npc8_backstory_b|我 生 在 杜 里 斯 特 。 生 活 虽 不 易 ， 却 也 幸 福 ， 直 到 两 年 前 瘟 疫 夺 走 我 的 妻 子 和 两 个 孩 子 。 我 曾 有 座 农 场 ， 可 那 里 的 一 切 都 让 我 想 起 他 们 ， 于 是 我 把 地 卖 了 。 如 今 我 是 个 醉 鬼 、 蠢 货 ， 没 人 愿 意 理 我 … … 直 到 你 出 现 。 
str_npc9_backstory_b|我 是 法 兰 克 人 ， 父 亲 的 长 子 ， 他 的 继 承 人 ， 也 是 他 厅 里 最 勇 猛 的 战 士 。 母 亲 死 后 ， 父 亲 再 娶 。 继 母 想 让 她 的 儿 子 继 承 ， 她 不 敢 明 着 动 手 ， 可 那 天 我 把 留 给 我 的 牛 油 喂 了 猎 犬 ， 狗 当 场 毙 命 。 我 指 控 继 母 ， 父 亲 却 被 她 的 巫 术 迷 了 心 窍 ， 不 信 我 ， 命 我 滚 出 他 的 视 线 。 
str_npc10_backstory_b|我 是 撒 克 逊 战 士 ， 一 生 与 威 尔 士 人 、 盎 格 鲁 人 作 战 。 西 撒 克 逊 注 定 要 统 治 英 格 兰 。 邻 人 的 傲 慢 与 仇 恨 阻 碍 这 片 土 地 统 一 于 一 位 国 王 之 下 。 依 我 看 ， 唯 有 撒 克 逊 君 主 ， 或 至 少 不 容 忍 那 些 人 傲 慢 的 人 ， 才 能 真 正 带 来 和 平 。 
str_npc11_backstory_b|看 你 的 表 情 ， 你 不 懂 我 在 说 什 么 。 好 吧 ， 我 承 认 像 我 这 样 的 人 不 多 ， 这 里 比 我 的 家 乡 挪 威 更 少 。 这 么 说 吧 ， 盾 女 是 选 择 武 器 之 路 的 处 女 ， 也 写 诗 ， 因 为 诗 与 战 争 同 源 。 
str_npc12_backstory_b|回 奥 丁 斯 维 途 中 ， 我 在 里 伯 靠 岸 ， 结 果 一 待 就 是 几 个 月 ， 为 当 地 显 贵 — — 或 没 那 么 显 贵 的 人 — — 效 力 。 看 来 我 的 服 务 让 我 有 了 些 声 望 ， 几 天 前 被 召 去 参 加 集 结 地 的 大 会 。 
str_npc13_backstory_b|我 是 挪 威 以 东 一 位 海 希 尔 的 次 子 ， 斯 维 雅 维 京 人 。 许 多 同 乡 去 东 方 罗 斯 寻 财 ， 我 却 西 行 英 格 兰 。 我 擅 于 指 挥 突 击 ， 也 擅 于 把 农 夫 训 练 成 战 士 。 可 惜 此 地 的 雅 尔 不 喜 欢 把 乌 合 之 众 练 成 士 兵 所 需 的 纪 律 。 我 告 诉 他 现 在 抽 鞭 子 好 过 日 后 埋 人 ， 他 不 听 ， 反 让 我 另 谋 高 就 。 
str_npc14_backstory_b|我 一 直 是 战 士 ， 不 是 农 民 ， 也 不 是 别 的 ， 只 是 战 士 。 我 承 认 对 这 片 土 地 有 些 感 情 ， 过 去 几 年 我 走 访 城 镇 、 堡 垒 、 村 庄 ， 尽 展 所 长 。 
str_npc15_backstory_b|我 也 是 个 不 幸 的 人 。 我 原 籍 远 地 的 君 士 坦 丁 堡 … … 也 许 你 知 道 ， 瓦 兰 吉 人 称 它 米 利 加 德 。 几 年 前 ， 一 群 瓦 兰 吉 人 把 我 掳 到 北 方 ， 卖 作 奴 隶 ， 卖 给 霍 达 兰 的 雅 尔 。 我 为 他 做 工 ， 直 到 前 几 日 攒 够 钱 赎 身 。 
str_npc16_backstory_b|抱 歉 … … 我 真 蠢 。 让 我 自 我 介 绍 ： 我 叫 贝 达 ， 幼 时 入 圣 教 会 ， 终 成 牧 师 。 我 相 信 最 硬 的 战 士 心 里 也 有 基 督 的 位 置 ， 而 我 在 盾 墙 中 比 在 圣 器 室 更 能 完 成 上 帝 给 我 的 使 命 。 
str_npc1_backstory_c|我 只 能 说 ， 我 本 就 愿 意 旅 行 看 世 界 ， 你 给 了 我 机 会 。 父 亲 问 我 们 兄 弟 谁 愿 替 他 还 债 时 ， 我 站 了 出 来 。 
str_npc2_backstory_c|如 今 我 在 王 家 卫 队 任 职 ， 却 不 开 心 。 那 些 凭 本 事 赢 得 位 置 的 硬 汉 压 我 一 头 ， 而 我 只 因 是 国 王 的 私 生 子 才 得 此 职 。 
str_npc3_backstory_c|我 拼 命 想 逃 。 若 能 开 始 新 的 自 由 生 活 … … 对 了 ！ 你 带 我 走 吧 ！ 我 可 以 为 战 士 疗 伤 ， 甚 至 学 做 战 士 ， 只 要 能 重 获 自 由 。 你 愿 意 带 我 走 吗 ， {reg59?女 士 :先 生 }？ 
str_npc4_backstory_c|还 有 件 事 ： 我 不 喜 欢 皮 克 特 人 。 是 的 ， 我 的 族 人 受 阿 尔 班 诸 王 统 治 ， 可 我 们 并 未 成 一 族 。 我 们 是 盖 尔 人 ， 不 是 那 些 鼠 辈 。 
str_npc5_backstory_c|所 以 ， 作 为 被 剥 夺 遗 产 的 人 ， 任 何 能 用 剑 谋 生 的 机 会 我 都 欢 迎 。 
str_npc6_backstory_c|我 看 见 所 有 人 都 倒 下 了 ： 船 长 、 水 手 、 护 船 的 弓 手 … … 我 以 为 自 己 也 死 了 ， 直 到 在 维 京 船 上 醒 来 ， 手 脚 被 缚 。 我 曾 是 俘 虏 ， 但 感 谢 上 帝 ， 我 逃 了 。 如 今 我 在 艾 露 丁 面 前 只 是 个 可 怜 人 ， 该 死 的 是 我 ， 活 着 的 应 是 别 人 。 如 今 我 只 为 赎 罪 而 活 。 
