qstr_Breaking_camp...|终止宿营。
qstr_Your_men_think_that_you_|你的人认为你是一个不能惩罚背信弃义之人的软弱领导者。
qstr___He_pushes_the_jar_|——他把罐子丢到一边，然后低下了头。——
qstr___He_looks_at_you_wit|——他用泪光闪闪的眼睛看着你。——
qstr_Reginhard_has_joined|雷因哈德已经加入了你。他告诉你泰德和他的人在杜里斯特东面的山脚下。泰德的队伍很强，也许你应该带着一大群士兵。
qstr_{s21}_seems_unhappy.|{s21}看起来不高兴。
qstr_high|高
qstr_low|低
qstr_normal|一般
qstr_Christianity|基督教
qstr_Norse_gods|诺尔斯的众神
qstr_The_subjects_of_our_|我们王国的子民基本上信奉{s4} 。有记录说明{reg13}人接受我们的信仰。
qstr_The_subjects_of_our_k|我们王国的子民基本上信奉{s4} 。有记录说明{reg13}人放弃我们的信仰。
qstr_the_{s12}|{s12}
qstr_the_{s11}_and_{s12}|{s11}和{s12}
qstr_the_{s11}_{s12}| {s11} ，{s12}
qstr_We_are_quite_happy_n|我们很高兴目前没有和任何人交战。
qstr_We_are_at_war_with_{|我们正在和{s12}交战。
qstr___He_seems_pleased._|——他看起来似乎很高兴。——
qstr___He_seems_upset.__|——他看起来似乎有点生气。——
qstr___He_seems_distresse|——他看起来有点苦恼。——
qstr___He_looks_at_you_with|——他看着你，但他的肩膀完全垂了下去。他看起来就像是一个完全沮丧的人。——
qstr___He_looks_with_grie|——他悲伤地望着你。——
qstr___He_spits_on_the_gr|——他吐在了地上，五官扭曲，愤怒比悲伤显露得更多。——
qstr_Thiaderd_is_dead._Br|泰德死了。把这个消息带给{s3}的雅尔。
qstr___He_looks_over_your|——他沿着你的肩膀看向了远方。——
qstr___He_puts_his_hand_on|——他把他的手放上了你的肩膀然后微笑着。——
qstr___He_turns_away_from|——他转头来做了个鬼脸。——
qstr___He_nods._You_note_|——他点了点头。你注意到他眼里的关注。——
qstr_{playername}_when_we|{playername}，当我们开始走这条漫漫长路的时候，很少有人有勇气来支持我。而更少的人会愿意为我们这件事冒生命危险。但你在将自己置于敌人之中时并没有丝毫犹豫。我们已经一起经历了太多东西，有那么几次我差点就失去了所有的希望。但我们赢了。现在是时候让我离开你的盾墙，并把本来属于我的东西拿回来。从现在开始，我将肩负着最大的责任心来统治{s3} 。前方还会有许多的挑战，而我依靠着你能帮我克服这些。当然，你会一直成为我最重要的部下。
qstr_Find_and_speak_with_|找到{s4}的{s3}并和他对话，向他宣誓效忠。
qstr__We_will_of_course_n|我们当然得等到国家不再进行战役了。
qstr_I_do_not_like_this_b|我不喜欢这样，但是事情太糟糕了。你能保证你能做到吗？
qstr_Well_I_guess_I_can_a|好吧我想我可以承认失败，我想你会对我们好点吧？
qstr_Perhaps..._Do_you_gi|或者说……你会给我们一个我们会被对待得好点的承诺？
qstr_There_comes_a_time_w|有时一个好的领导者应该保证他的人能得到好点的福利，你会对我们许下这个诺言吗？
qstr_The_fort_has_been_de|要塞被雄狮保护着，而我们只能高昂着头离开，你能保障我们的安全吗？
qstr_Well_I_guess_I_can_ad|好吧，我想我可以承认失败，我们会离开要塞的。但我需要你担保我们不会受到袭击。
qstr_We_are_ready_to_leav|我们已经准备好了，如果你向我发誓我们可以平安离开这里的话，我们会留下这个要塞给你然后离开。
qstr_There_comes_a_time_wh|有时一个好的领导者应该保证他的人能得到好点的福利，我们会离开这个要塞，但你要保证你不会攻击我们。
qstr_You_re_nothing_but_s|你这个人渣，你最好在我们杀了你之前离开。
qstr_You_re_wasting_your_|你在浪费你的时间——如果你有勇气这么做的话。
qstr_You_have_called_me_f|你就为了这么点事情叫我？我们永远不会向你这样的人投降的！
qstr_Surrender?_Hah!_We_c|投降？哈！我们可以守住这道城墙直到老死！
qstr_8000|8000
qstr_5000.|5000。
qstr_3000|3000
qstr_2000.|2000。
qstr_1000|1000
qstr_{s6}_has_joined_your|{s6}加入了你的部队。
qstr_{s1}_Rebels|{s1}叛军
qstr_I_am_{s4}_the_ruler_|我是{s4} ，{s6}的统治者。
qstr_I_am_{s4}_a_vassal_o|我是{s4} ，{s6}的封臣。
qstr_{s7}_and_{s8}|{s7}和{s8}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5?而且是{s8}的领主。: 。}
qstr_My_name_is_{s4}_and_|我是{s4}我从{s8}而来，我在战场上寻找冒险和荣耀。
qstr___The_ugly_face_of_a|——一个微笑着的男人的丑陋的脸出现在你面前。——
qstr_Fergus_Mael_Bresail_|费格斯告诉你，普雷西尔王子的士兵在农场，宴会可以接待25个人。你必须带来更多伙伴。
qstr_Fergus_Mael_Bresail_s|费格斯告诉你，普雷西尔王子在农场，宴会只能接待25个人。你必须解雇或者在附近的营地离开他们，之后再回去。
qstr_Around_you_everybody|你周围，每个人都在农场的盛宴开始时变得忙碌。
qstr_The_chronicler_has_p|记录者已答应，如果你征服诺尔斯城镇{s3} ，{s9} 和{s11} ，就撰写关于你的事迹并且向世界公布，你是全斯堪的纳维亚的统治者。
qstr_The_chronicler_has_pr|记录者已答应，如果你征服布立吞城镇：{s3} ，{s9} 和{s11}，就撰写关于你的事迹并且向世界公布，你是全布立吞的统治者 。
qstr_The_chronicler_has_pro|记录者已答应，如果你征服戈伊德尔城镇{s3} ，{s9} 和{s11} ，就撰写关于你的事迹并且向世界公布，你是全爱尔兰的统治者。
qstr_The_chronicler_has_prom|记录者已答应，如果你征服盎格鲁和撒克逊城镇：{s3} ，{s9} 和{s11}，就撰写关于你的事迹并且向世界公布，你是全英格兰统治者。
qstr_Mael_Bresail_has_use|普雷西尔王子利用你杀死了弗莱厄蒂的子嗣。现在，许多北爱尔兰贵族都痛恨你，因为你是杀死皇族的凶手。你没有太多选择，为今之计是去普雷西尔王子的农场附近见他{s3} 。他答应给你很多钱，无论你做什么决定这都会改变你的命运。
qstr_Mael_Bresail_has_used|普雷西尔王子利用你杀死了弗莱厄蒂的子嗣。现在，许多北爱尔兰贵族都痛恨你，因为你是杀死皇族的凶手。你没有太多选择，为今之计是去普雷西尔王子的农场附近见他{s3} 。无论你做什么决定这都会改变你的命运。
qstr_Note_4:_You_chose_to|笔记4：你选择给普雷西尔王子一条生路。你们再也不会干扰到对方的生活。
qstr_Note_4:_Morrigan_for|笔记4：莫莉卡迫使你结束普雷西尔王子的生命。
qstr_Note_4:_You_killed_M|笔记4：你在农场杀死了普雷西尔王子来报复他的伏击。
qstr_Morrigan_has_died._R|莫莉卡已经死了，回去领取奖励和一些答案。
qstr_Note_3:_You_chose_to|笔记3：你选择杀死莫莉卡。
qstr_Oh_I_m_no_murderer..|噢，我并没有想谋杀谁……我只是想帮助巴尔伦。(冷静的)
qstr_My_duty_is_but_to_pr|保护巴尔伦是我的责任，我只是做了我应该做的。(忧郁的)
qstr_I_am_not_a_murderer.|我并不是在谋杀谁。你攻击了巴尔伦，所以我现在将要杀了你。(暴躁的)
qstr_My_only_goal_is_to_k|我唯一的目标就是要杀了你，因为你对巴尔伦所做的一切，你这个巫婆(嗜血的)
qstr_Morrigan_has_joined_|莫莉卡加入了你的队伍。回到修道院长那里去取得你的报酬，也许还有某些问题的答案。
qstr_Note_3:_You_chose_to_|笔记3：你选择放莫莉卡一条生路，去普雷西尔王子那里寻找答案。莫莉卡现在成为了你的部队的一份子。
qstr_My_parents_gave_me_t|我的父母为我取名为{playername}。我就是你们在等待的第三个勇者。(冷静的)
qstr_Well_I_am_{playernam|你们好，我是{playername}，第三个勇者。(忧郁的)
qstr_My_name_is_{playerna|我是{playername}，第三个，也是最重要的一个勇者。(暴躁的)
qstr_I_am_{playername}._A|我是{playername}。作为第三个被选中的勇者，遇到你们我感到很荣幸。(嗜血的)
qstr_Ah_well_we_were_wait|啊，你终于来了。我们在这烧焦的破房子前面等了老半天了。
qstr_Now_you_decide_to_sh|你终于决定要现身了。你迟到了。
qstr_Yes_yes_I_see_and_yo|嗯，嗯，我知道，你还有个外婆是吧。但不管怎么样，你让我们等了好几天，而我很怀疑这值不值得。
qstr_Short_and_polite!_Th|简洁明了！不过你来的这么晚，我们都没时间举行一个像样的仪式了。
qstr_After_being_defeated|被莫莉卡打败之后，你与其他两位勇者艾德和奥乔巴汇合了。经过简单的交流之后，你们决定分头行动。他们将会继续跟踪莫莉卡，而你则先返回{s3} 。卡利卡斯看起来似乎有些问题。
qstr_Note_2:_Despite_thei|笔记2：尽管他们在与莫莉卡战斗时懦弱害怕而拒绝帮忙，在莫莉卡的洞穴中你还是选择放了这两名勇者一条生路。
qstr_Note_2:_You_chose_ki|笔记2：在莫莉卡的洞穴中，你选择杀掉了另外两名勇者。因为他们在面对莫莉卡时因为害怕拒绝帮忙。
qstr_Note_3:_Without_rega|笔记3：你不顾乌尔夫的规矩，允许埃吉尔和索拉交谈。
qstr_Note_3:_You_decided_|笔记3：你决定尊重乌尔夫的规矩，并保护他的女儿索拉的尊严。
qstr_Note_3:_Without_regar|笔记3：你不顾乌尔夫的规矩，决定和他的女儿索拉谈一场浪漫的恋爱。
qstr_{s9}_has_good_relati|{s9}的关系和你很好。
qstr___Ulf_seems_very_hap|——乌尔夫看起来十分开心。他穿上了奥姆·斯瓦提的链甲，把剑拿在手上。——
qstr_Thanks_for_sharing_y|感谢您分享的食物和饮料，乌尔夫。（冷静）
qstr_Thanks_for_sharing_yo|感谢您分享的食物和饮料，乌尔夫。（谨慎）
qstr_Sour_milk_and_butter|就只有酸奶和黄油面包？你难道就没有更好点的吗？（易怒）
qstr_Sour_milk_and_buttere|就只有酸奶和黄油面包？我们会接受你可怜的热情，但我期望你是一个更好的人。（嗜血）
qstr___He_spits_out_what_|——他吐了他之前吃的东西然后扔开了他的酒杯。——
qstr___She_raises_her_han|——她举起了双手，让大家冷静下来。——
qstr___He_applauds.__|——他鼓掌了。——
qstr_Your_men_think_that_you_a|你的人认为你是一个严厉惩罚背信弃义之人的强有力的领导者。
qstr_{s11}_thinks_that_yo|{s11}认为你是一个差劲的领导者。
qstr_{s14}|{s14}
qstr_Your_men_think_that_you_ar|你的人认为你是一个软弱的领导者，容许有人背叛你。
qstr___Both_stop_surprise|——所有人都停了下来，惊讶于你的口气。埃吉尔紧张地转向了你。——
qstr_{s11}_thinks_that_you|{s11}认为你是一个很棒的领导者。
qstr___Ulf_watches_mouth_|——乌尔夫就这么目瞪口呆地看着埃吉尔与雷因哈德带着许多士兵将他的仓库一扫而空。——
qstr_You_fought_a_duel_wi|你和黑人奥姆进行了一场决斗，并杀了他，救下了乌尔夫的农庄和他的女儿索拉。乌尔夫向你保证他不会在议事会上公开指证你，也不会因为索拉的怀孕而问责。
qstr_Note_3:_Your_romance|笔记3：你和索拉在乌尔夫的农场的事情有了下文：她怀了你的孩子。
qstr_Note_3:_Egil_s_roman|笔记3：埃吉尔和索拉在乌尔夫的农场的事情有了下文：她怀了他的孩子。
qstr_Note_3:_Thora_from_U|笔记3：在乌尔夫的农场的索拉和你的一个手下有了孩子。
qstr___Ulf_s_mouth_opens_|——乌尔夫的嘴巴张合了几次，但不知道他在说什么。你看见他的脸通红，看上去像是要爆发一样。他的眼睛四处搜寻找到他的矛。他的农奴们停止了工作，他们大概有五六个拿着刀棍的人，但可能在房子里面有更多人。——
qstr_Do_not_question_me_B|不许质疑我，伯伦希尔。有时真相是残酷的，乌尔夫。（嗜血）
qstr_I_apologize_Ulf._I_s|我道歉，乌尔夫。我不经大脑就乱说话，我尊重你的女儿。（冷静）
qstr_I_see_it_is_importan|我知道让你焦虑的东西对你来说很重要。我很抱歉，我为此向你道歉。（谨慎）
qstr_We_are_friends_Ulf._|我们是朋友，乌尔夫。我向你道歉。（易怒）
qstr___Ulf_makes_an_effor|——乌尔夫努力地冷静下来，然后深吸一口气，看着你的眼睛。——
qstr___Egil_laughs_at_his|——埃吉尔一边做不雅手势，一边笑自己的那个笑话。——
qstr___Reginhard_launches|——雷因哈德惊讶地吹了个口哨。——
qstr___Ulf_looks_dejected|——当看见那个越过你肩膀的巨人时，乌尔夫吓得脸都青了。——
qstr___She_spits_near_the|——她吐了一口口水在奥姆的脚边。——
qstr_Note_5:_You_chose_to|笔记5：你选择和奥姆·斯瓦提决斗，因此乌尔夫和索拉就能保住他们的农场和性命。
qstr_Orm_the_Black_has_pr|黑人奥姆承诺他会杀死乌尔夫并抢走他的农场和女儿。因此你不需要担心乌尔夫会在议事会上公开指证你。
qstr_Note_5:_You_chose_th|笔记5：你选择让奥姆·斯瓦提杀死乌尔夫并抢走他的农场和索拉。
qstr_Your_men_are_getting|你的手下已经听腻了这千篇一律的布道词。也许应该隔一段时间再说了。
qstr_The_priest_at_{s3}_a|在{s3} 的牧师要你给他带{reg33} 罐蜂蜜酒。
qstr_Your_men_are_getting_|你的手下已经听腻了这千篇一律的神的故事。也许应该隔一段时间再说了。
qstr___She_smiles_and_loo|——她用挑衅的目光看着你。——
qstr___He_jumps_with_joy.|——他欢快地跳着。最终他停了下来，深深地吸了一口气。——
qstr_Jetties|码头
qstr___Egil_stops_looting|——当奥利维被带到你面前时，埃吉尔停止了寻找战利品。他向你走来。——
qstr___Olvir_coughs_up_bl|——奥利维咳了点血，并把手背起来。他看起来累了，非常累，但仍然很骄傲，昂然站着。——
qstr___He_spits_to_one_si|——在开始说话之前，他冷漠地吐了一口口水。——
qstr___His_face_is_pale._|——他的脸很苍白，生命结束之前他还能有一点时间。——
